GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BPMNFlow Process Runtime,org.bpmnflow.runtime.service,BpmnCatalogService,137,0,0,0,40,0,6,0,6,0
BPMNFlow Process Runtime,org.bpmnflow.runtime.service,BpmnDeployService,103,1415,36,92,17,301,35,49,1,19
BPMNFlow Process Runtime,org.bpmnflow.runtime.service,ProcessInstanceService,21,875,15,69,1,225,15,49,1,21
BPMNFlow Process Runtime,org.bpmnflow.runtime,SwaggerConfig,0,25,0,0,0,9,0,2,0,2
BPMNFlow Process Runtime,org.bpmnflow.runtime,ProcessRuntimeApplication,5,3,0,0,2,1,1,1,1,1
BPMNFlow Process Runtime,org.bpmnflow.runtime,GlobalExceptionHandler,104,7,0,0,20,2,7,2,7,2
BPMNFlow Process Runtime,org.bpmnflow.runtime,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
BPMNFlow Process Runtime,org.bpmnflow.runtime.controller,ProcessController,40,0,0,0,6,0,6,0,6,0
BPMNFlow Process Runtime,org.bpmnflow.runtime.controller,DeployController,100,0,6,0,29,0,6,0,3,0
BPMNFlow Process Runtime,org.bpmnflow.runtime.model.entity,BpmnProcessVersionEntity,3,10,1,1,0,4,1,1,0,1
BPMNFlow Process Runtime,org.bpmnflow.runtime.model.entity,VariableType,0,39,0,0,0,7,0,1,0,1
BPMNFlow Process Runtime,org.bpmnflow.runtime.model.entity,WfInstanceVariableEntity,17,0,2,0,6,0,3,0,2,0
BPMNFlow Process Runtime,org.bpmnflow.runtime.model.entity,BpmnConfigEntity,0,4,0,0,0,2,0,1,0,1
BPMNFlow Process Runtime,org.bpmnflow.runtime.model.entity,VariableType.new VariableType() {...},0,8,0,0,0,3,0,3,0,3
BPMNFlow Process Runtime,org.bpmnflow.runtime.model.entity,VariableType.new VariableType() {...},0,34,0,4,0,9,0,6,0,4
BPMNFlow Process Runtime,org.bpmnflow.runtime.model.entity,WfInstanceActivityEntity,3,7,1,1,0,3,1,1,0,1
BPMNFlow Process Runtime,org.bpmnflow.runtime.model.entity,VariableType.new VariableType() {...},0,49,0,8,0,12,0,8,0,4
BPMNFlow Process Runtime,org.bpmnflow.runtime.model.entity,VariableType.new VariableType() {...},0,30,0,4,0,8,0,5,0,3
BPMNFlow Process Runtime,org.bpmnflow.runtime.model.entity,VariableType.new VariableType() {...},0,30,0,4,0,8,0,5,0,3
BPMNFlow Process Runtime,org.bpmnflow.runtime.model.entity,BpmnProcessEntity,4,7,0,0,2,3,1,1,1,1
BPMNFlow Process Runtime,org.bpmnflow.runtime.model.entity,VariableType.new VariableType() {...},9,35,0,4,2,11,0,6,0,4
BPMNFlow Process Runtime,org.bpmnflow.runtime.model.entity,WfProcessInstanceEntity,3,14,1,1,0,6,1,2,0,2
